in:Angle,in:North_shade_depth,in:East_shade_depth,in:South_shade_depth,in:West_shade_depth,in:shade_count,out:cooling load intensity,out:heating load intensity,img
0,.1,.1,.1,.1,2,44.336149143,4.105373433,Angle0_North_shade_depth.1_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.1,.1,.1,.1,2,44.079236945,4.140244005,Angle25_North_shade_depth.1_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.1,.1,.1,.1,2,44.040914933,4.154165776,Angle45_North_shade_depth.1_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.1,.1,.1,.1,2,44.173220214,4.152159223,Angle65_North_shade_depth.1_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.2,.1,.1,.1,2,44.29654367,4.106478637,Angle0_North_shade_depth.2_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.2,.1,.1,.1,2,44.017000519,4.143036309,Angle25_North_shade_depth.2_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.2,.1,.1,.1,2,43.966369231,4.157983969,Angle45_North_shade_depth.2_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.2,.1,.1,.1,2,44.093039092,4.156533768,Angle65_North_shade_depth.2_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.3,.1,.1,.1,2,44.265252737,4.107419499,Angle0_North_shade_depth.3_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.3,.1,.1,.1,2,43.965479453,4.145610812,Angle25_North_shade_depth.3_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.3,.1,.1,.1,2,43.901421892,4.161627874,Angle45_North_shade_depth.3_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.3,.1,.1,.1,2,44.020193639,4.160874698,Angle65_North_shade_depth.3_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.4,.1,.1,.1,2,44.241778912,4.108259787,Angle0_North_shade_depth.4_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.4,.1,.1,.1,2,43.925241561,4.147957447,Angle25_North_shade_depth.4_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.4,.1,.1,.1,2,43.84939094,4.165020103,Angle45_North_shade_depth.4_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.4,.1,.1,.1,2,43.95602613,4.165072681,Angle65_North_shade_depth.4_East_shade_depth.1_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.1,.2,.1,.1,2,44.107037662,4.124637941,Angle0_North_shade_depth.1_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.1,.2,.1,.1,2,43.778165019,4.16914436,Angle25_North_shade_depth.1_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.1,.2,.1,.1,2,43.709396577,4.187038572,Angle45_North_shade_depth.1_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.1,.2,.1,.1,2,43.854134506,4.184646111,Angle65_North_shade_depth.1_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.2,.2,.1,.1,2,44.06751423,4.125805025,Angle0_North_shade_depth.2_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.2,.2,.1,.1,2,43.715634762,4.172052171,Angle25_North_shade_depth.2_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.2,.2,.1,.1,2,43.634472158,4.191021606,Angle45_North_shade_depth.2_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.2,.2,.1,.1,2,43.773818048,4.189190595,Angle65_North_shade_depth.2_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.3,.2,.1,.1,2,44.036302205,4.12679257,Angle0_North_shade_depth.3_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.3,.2,.1,.1,2,43.664105635,4.174735923,Angle25_North_shade_depth.3_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.3,.2,.1,.1,2,43.569416455,4.194849078,Angle45_North_shade_depth.3_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.3,.2,.1,.1,2,43.700866913,4.193728468,Angle65_North_shade_depth.3_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.4,.2,.1,.1,2,44.012884375,4.127666236,Angle0_North_shade_depth.4_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.4,.2,.1,.1,2,43.623828184,4.177181541,Angle25_North_shade_depth.4_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.4,.2,.1,.1,2,43.517233337,4.198394154,Angle45_North_shade_depth.4_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.4,.2,.1,.1,2,43.636664445,4.198092825,Angle65_North_shade_depth.4_East_shade_depth.2_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.1,.3,.1,.1,2,43.914439157,4.141816291,Angle0_North_shade_depth.1_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.1,.3,.1,.1,2,43.52102925,4.195791961,Angle25_North_shade_depth.1_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.1,.3,.1,.1,2,43.422669121,4.219419389,Angle45_North_shade_depth.1_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.1,.3,.1,.1,2,43.557763426,4.219243252,Angle65_North_shade_depth.1_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.2,.3,.1,.1,2,43.874801747,4.143025505,Angle0_North_shade_depth.2_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.2,.3,.1,.1,2,43.458260765,4.198847086,Angle25_North_shade_depth.2_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.2,.3,.1,.1,2,43.347430179,4.223598714,Angle45_North_shade_depth.2_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.2,.3,.1,.1,2,43.477181451,4.224024717,Angle65_North_shade_depth.2_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.3,.3,.1,.1,2,43.843535093,4.144041596,Angle0_North_shade_depth.3_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.3,.3,.1,.1,2,43.40650593,4.201658739,Angle25_North_shade_depth.3_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.3,.3,.1,.1,2,43.282124525,4.227566748,Angle45_North_shade_depth.3_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
